date,symbol,close,high,low,open,volume,PayoutRatio,SustainableGrowthRate,CashReturn,SalesPerShare,BookValuePerShare,CFOPerShare,FCFPerShare,EarningYield,PERatio,SalesYield,PSRatio,BookValueYield,PBRatio,CFYield,PCFRatio,FCFYield,FCFRatio,ForwardEarningYield,ForwardPERatio,PEGRatio,PEGPayback,ForwardDividend,WorkingCapitalPerShare,BuyBackYield,TotalYield,NormalizedPERatio,PricetoEBITDA,ForwardROE,ForwardROA,TotalAssetPerShare,ExpectedDividendGrowthRate,EVtoRevenue,EVtoPreTaxIncome,EVtoTotalAssets,EVtoFCF,EVtoEBIT,FFOPerShare,PricetoCashRatio,EVToForwardEBITDA,EVToForwardRevenue,EVToForwardEBIT
1/7/2020,AAPL,298.262843,298.441932,291.268422,292.303158,26861480,0.2523,0.4181,0.0478,55.9645,20.636,14.9263,12.6688,0.0405,24.697225,0.1906,5.247078,0.0703,14.229989,0.0508,19.673348,0.0431,23.17905,0.0451,22.1729,2.0292,10.8661,3.08,13.022,0.0513,0.0617,24.697225,16.676683,0.6501,0.1738,77.1994,0.0132,4.978,19.7017,3.8259,21.9902,18.6853,0,0,16.4487,4.7323,19.4704
1/8/2020,AAPL,296.760485,299.377175,295.974483,298.422034,23965203,0.2523,0.4181,0.0478,55.9645,20.636,14.9263,12.6688,0.0405,24.697225,0.1906,5.247078,0.0703,14.229989,0.0508,19.673348,0.0431,23.17905,0.0451,22.1729,2.0292,10.8661,3.08,13.022,0.0513,0.0617,24.697225,16.676683,0.6501,0.1738,77.1994,0.0132,4.978,19.7017,3.8259,21.9902,18.6853,0,0,16.4487,4.7323,19.4704
1/9/2020,AAPL,301.655586,302.89926,295.646154,295.735698,29112123,0.2523,0.4181,0.0478,55.9645,20.636,14.9263,12.6688,0.0405,24.697225,0.1906,5.247078,0.0703,14.229989,0.0508,19.673348,0.0431,23.17905,0.0451,22.1729,2.0292,10.8661,3.08,13.022,0.0513,0.0617,24.697225,16.676683,0.6501,0.1738,77.1994,0.0132,4.978,19.7017,3.8259,21.9902,18.6853,0,0,16.4487,4.7323,19.4704
1/10/2020,AAPL,308.142589,308.848995,304.650352,305.695038,38690842,0.2523,0.4181,0.0478,55.9645,20.636,14.9263,12.6688,0.0405,24.697225,0.1906,5.247078,0.0703,14.229989,0.0508,19.673348,0.0431,23.17905,0.0451,22.1729,2.0292,10.8661,3.08,13.022,0.0513,0.0617,24.697225,16.676683,0.6501,0.1738,77.1994,0.0132,4.978,19.7017,3.8259,21.9902,18.6853,0,0,16.4487,4.7323,19.4704
1/14/2020,AAPL,315.355897,315.46534,309.575301,310.112568,27653451,0.2523,0.4181,0.0478,55.9645,20.636,14.9263,12.6688,0.0405,24.697225,0.1906,5.247078,0.0703,14.229989,0.0508,19.673348,0.0431,23.17905,0.0451,22.1729,2.0292,10.8661,3.08,13.022,0.0513,0.0617,24.697225,16.676683,0.6501,0.1738,77.1994,0.0132,4.978,19.7017,3.8259,21.9902,18.6853,0,0,16.4487,4.7323,19.4704
1/15/2020,AAPL,311.107507,315.942911,310.172264,315.097213,36707651,0.2523,0.4181,0.0478,55.9645,20.636,14.9263,12.6688,0.0405,24.697225,0.1906,5.247078,0.0703,14.229989,0.0508,19.673348,0.0431,23.17905,0.0451,22.1729,2.0292,10.8661,3.08,13.022,0.0513,0.0617,24.697225,16.676683,0.6501,0.1738,77.1994,0.0132,4.978,19.7017,3.8259,21.9902,18.6853,0,0,16.4487,4.7323,19.4704
1/16/2020,AAPL,309.92353,313.903286,307.983398,310.261809,27801051,0.2523,0.4181,0.0478,55.9645,20.636,14.9263,12.6688,0.0405,24.697225,0.1906,5.247078,0.0703,14.229989,0.0508,19.673348,0.0431,23.17905,0.0451,22.1729,2.0292,10.8661,3.08,13.022,0.0513,0.0617,24.697225,16.676683,0.6501,0.1738,77.1994,0.0132,4.978,19.7017,3.8259,21.9902,18.6853,0,0,16.4487,4.7323,19.4704
1/17/2020,AAPL,313.734146,314.102274,310.510544,312.032801,23724117,0.2523,0.4181,0.0478,55.9645,20.636,14.9263,12.6688,0.0405,24.697225,0.1906,5.247078,0.0703,14.229989,0.0508,19.673348,0.0431,23.17905,0.0451,22.1729,2.0292,10.8661,3.08,13.022,0.0513,0.0617,24.697225,16.676683,0.6501,0.1738,77.1994,0.0132,4.978,19.7017,3.8259,21.9902,18.6853,0,0,16.4487,4.7323,19.4704
1/22/2020,AAPL,314.98777,317.405472,314.400756,315.495189,21936734,0.2523,0.4181,0.0478,55.9645,20.636,14.9263,12.6688,0.0405,24.697225,0.1906,5.247078,0.0703,14.229989,0.0508,19.673348,0.0431,23.17905,0.0451,22.1729,2.0292,10.8661,3.08,13.022,0.0513,0.0617,24.697225,16.676683,0.6501,0.1738,77.1994,0.0132,4.978,19.7017,3.8259,21.9902,18.6853,0,0,16.4487,4.7323,19.4704
1/23/2020,AAPL,316.092152,318.370563,315.714075,317.007496,22219585,0.2523,0.4181,0.0478,55.9645,20.636,14.9263,12.6688,0.0405,24.697225,0.1906,5.247078,0.0703,14.229989,0.0508,19.673348,0.0431,23.17905,0.0451,22.1729,2.0292,10.8661,3.08,13.022,0.0513,0.0617,24.697225,16.676683,0.6501,0.1738,77.1994,0.0132,4.978,19.7017,3.8259,21.9902,18.6853,0,0,16.4487,4.7323,19.4704
